"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"5274480",8001027661,"2162NYP","NJ","PAS","01/21/2015",14,"SUBN","FORD","T",34630,10510,13610,"01/01/88888888 12:00:00 PM",10,10,10,356549,"T106","A","0152P","","NY","F","127","W 43rd St","","01/05/0001 12:00:00 PM",408,"c","","YYYYYYY","","","BLACK",NA,0,"",0,"99 6","14-No Standing","","","",NA,NA,NA,NA,NA,NA,NA,NA
"3694284",7352749810,"YH591V","NJ","PAS","07/09/2014",31,"4DSD","ME/BE","T",18110,24890,10210,"01/01/88888888 12:00:00 PM",17,17,17,353070,"T503","E1","0112P","","NY","F","150","E 56th St","","01/05/0001 12:00:00 PM",408,"l3","","YYYYY","0700A","0600P","BLACK",NA,0,"",0,"CC1","31-No Stand (Com. Mtr. Zone)","","","",NA,NA,NA,NA,NA,NA,NA,NA
"2182241",7581958826,"AYW7664","NY","PAS","10/28/2014",21,"PICK","TOYOT","T",29620,64920,12720,"01/01/20160426 12:00:00 PM",49,49,49,359310,"T202","E","0745A","","BX","F","2580","E Tremont Ave","","01/05/0001 12:00:00 PM",408,"d1","","Y","0730A","0800A","BL",NA,2005,"",0,"05A","21-No Parking (street clean)","","","",NA,NA,NA,NA,NA,NA,NA,NA
"1551802",7108259916,"JLF9843","PA","PAS","04/22/2015",21,"4DSD","HONDA","T",17340,8590,8790,"01/01/20150088 12:00:00 PM",115,115,115,356979,"T401","B","0840A","","Q","F","35-65","85th St","","01/05/0001 12:00:00 PM",408,"d1","","Y","0830A","1000A","BLUE",NA,0,"",0,"19-A","21-No Parking (street clean)","","","",NA,NA,NA,NA,NA,NA,NA,NA
"427806",8030920398,"DES2686","NY","PAS","06/04/2015",21,"4DSD","AUDI","T",44990,13610,44990,"01/01/20170428 12:00:00 PM",24,24,24,353192,"T103","AA","0949A","","NY","O","924","West End Ave","","01/05/0001 12:00:00 PM",408,"d1","","Y  Y","0930A","1100A","WH",NA,2010,"",0,"I 77","21-No Parking (street clean)","","","",NA,NA,NA,NA,NA,NA,NA,NA
"5550622",7031810279,"GXP5893","NY","PAS","06/23/2015",20,"SUBN","LINCO","T",76950,26160,12820,"01/01/20170423 12:00:00 PM",40,40,40,361339,"T201","J","0243P","","BX","O","422B","Westchester Ave","","01/05/0001 12:00:00 PM",408,"d","","Y","0800A","0600P","BK",NA,2012,"",0,"35 2","20A-No Parking (Non-COM)","","","",NA,NA,NA,NA,NA,NA,NA,NA
"5815707",7764741632,"GVD5380","NY","PAS","05/28/2015",21,"4DSD","VOLVO","T",30240,57090,39790,"01/01/20170218 12:00:00 PM",101,101,101,343912,"T402","L","0736A","","Q","F","698","Beach 20th St","","01/05/0001 12:00:00 PM",408,"d1","","Y","0730A","0800A","BL",NA,2004,"",0,"R 42","21-No Parking (street clean)","","","",NA,NA,NA,NA,NA,NA,NA,NA
"11344995",7403177691,"EPU6488","NY","PAS","06/25/2015",48,"SUBN","TOYOT","T",72720,26130,26160,"01/01/20170309 12:00:00 PM",44,44,44,357057,"T201","R","0214P","","BX","F","555","Walton Ave","","01/05/0001 12:00:00 PM",408,"e9","","","","","GREY",NA,2014,"",0,"S 21","48-Bike Lane","","","",NA,NA,NA,NA,NA,NA,NA,NA
"1759477",7887951550,"AG53060","AZ","PAS","06/24/2015",14,"VAN","FORD","T",34230,10065,11110,"01/01/20150088 12:00:00 PM",10,10,10,355080,"T102","A","0534A","","NY","O","541","W 23rd St","","01/05/0001 12:00:00 PM",408,"c","","YYYYYYY","1100P","0600A","WHITE",NA,0,"",0,"99 6","14-No Standing","","","",NA,NA,NA,NA,NA,NA,NA,NA
"2108572",1372993186,"FFW2777","NY","PAS","08/19/2014",40,"SDN","ACURA","P",61690,30040,30110,"01/01/20150304 12:00:00 PM",101,101,105,952670,"0105","0000","0145A","","Q","F","14-30","SEAGIRT BLVD","","01/05/0001 12:00:00 PM",408,"E2","","BBBBBBB","ALL","ALL","WHITE",0,0,"-",10,"","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"11339759",7220794071,"89635JZ","NY","COM","06/15/2015",37,"UTIL","FORD","T",15210,10710,13310,"01/01/20160228 12:00:00 PM",6,6,6,359605,"T101","D","0507P","0232P","NY","F","84","Christopher St","","01/01/20150615 12:00:00 PM",408,"h1","","Y","0830A","1000P","BK",NA,2012,"144-3239",0,"63 1","37-Expired Muni Meter","","","",NA,NA,NA,NA,NA,NA,NA,NA
"3264236",7574639875,"T652879C","NY","OMT","09/08/2014",31,"SUBN","CHEVR","T",10910,34910,34930,"01/01/20150430 12:00:00 PM",18,18,18,358194,"T503","E1","0221P","","NY","O","891","9th Ave","","01/05/0001 12:00:00 PM",408,"l3","","Y","0700A","0700P","BK",NA,2011,"",0,"CC1","31-No Stand (Com. Mtr. Zone)","","","",NA,NA,NA,NA,NA,NA,NA,NA
