"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"8328522",7089556748,"GPN7979","NY","PAS","06/17/2014",38,"4DSD","CHEVR","T",54050,35030,67730,20160430,62,62,62,358240,"T302","O","0411P","","K","F","575","Kings Hwy","",0,408,"h1","","Y","0800A","0700P","GY",NA,2014,"",0,"04 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7627816",7787984326,"GMA9441","NY","PAS","05/05/2014",71,"4DSD","HYUND","T",45490,47490,67990,20160114,104,104,104,357092,"T401","L","0710A","","Q","F","66-42","Forest Ave","",0,408,"j6","","YYYYYYY","","","GY",NA,2001,"",0,"L 41","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"298531",7739084839,"GDB2525","NY","PAS","08/22/2013",21,"SUBN","DODGE","T",0,0,0,20141122,90,90,90,358173,"T301","S","1150A","","K","F","109","South St","",0,408,"d1","","Y  Y","1130A","0100P","BL",NA,2008,"",0,"14 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1851202",7503484688,"L353YR","FL","PAS","10/26/2013",38,"4DSD","LEXUS","T",68420,27300,29220,20131288,46,46,46,356217,"T201","H","0459P","","BX","F","2490","Tiebout Ave","",0,408,"h1","","Y","0900A","0700P","GREY",NA,0,"",0,"03 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8828297",7322366220,"EKC6304","NY","PAS","06/13/2014",21,"SUBN","FORD","T",18370,10110,10010,20141130,19,19,19,361091,"T103","G","1131A","","NY","F","354","E 69th St","",0,408,"d1","","Y  Y","1100A","1230A","GR",NA,1998,"",0,"51 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7558911",7558380777,"GPK8237","NY","PAS","05/24/2014",38,"4DSD","CHEVR","T",71030,40930,87330,20160418,77,77,77,358932,"T301","E","1100A","","K","O","20","Plaza Street East","",0,408,"h1","","Y","0830A","0700P","BK",NA,2014,"",0,"19 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7414846",7044048614,"GHN7110","NY","PAS","05/15/2014",40,"4DSD","FORD","T",0,0,0,20140731,40,40,40,359303,"T201","H","0202P","","BX","I","W","E 140th St","15ft N/of Walton Ave",0,408,"e2","","YYYYYYY","","","GY",NA,2009,"",6,"59 2","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8942005",7739111922,"DGD3732","NY","PAS","06/02/2014",21,"SUBN","SUBAR","T",20530,31830,19230,20150627,84,84,84,358630,"T301","C","0846A","","K","F","150","Bond St","",0,408,"d1","","Y","0830A","1000A","BK",NA,2005,"",0,"05 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5866305",7787522987,"XAR581","NJ","PAS","02/26/2014",16,"VAN","FORD","T",15350,29390,16850,20140088,1,1,1,353194,"T105","M","0739A","0702A","NY","F","176","Church St","",20140226,408,"k2","","YYYYY","0700A","0700P","WHITE",NA,0,"",0,"J 99","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2474334",7758294741,"ELC6526","NY","PAS","10/05/2013",71,"4DSD","HONDA","T",18040,24240,24290,20140818,103,103,103,356326,"T402","H","1037A","","Q","F","164-03","89th Ave","",0,408,"j6","","YYYYYYY","","","SILVE",NA,2008,"",0,"04 -","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
