"","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"2109370",8009618482,"D2963K","CT","PAS","07/30/2015",16,"4DSD","NISSA","T",6380,10030,10080,20151088,68,68,68,331245,"T302","L","0639A","","K","F","7002","13th Ave","",0,408,"k2","","Y","0600A","1000A","BLUE","",0,"",0,"E 32","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10465565",8072010270,"BEARDOWN","NY","SRF","06/14/2016",70,"SUBN","PORSC","T",35110,14510,15710,20160227,20,20,20,358233,"T103","K","0839A","","NY","F","30","W 67th St","",0,408,"j3","","YYYYYYY","","","BL","",2004,"",0,"44 7","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2084077",7938390537,"AF37508","PA","PAS","08/15/2015",84,"DELV","NS/OT","T",10510,21740,15210,20150088,6,6,6,358198,"T101","G","0945A","","NY","F","412","6th Ave","",0,408,"k7","","","","","OTHER","",0,"",0,"08 1","84-Platform lifts in low posit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3720877",4611789226,"T676257C","NY","OMT","10/23/2015",36,"4DSD","TOYOT","V",0,0,0,0,NA,0,0,0,"","","1035A","","","","","EB HORACE HARDING EX","PRESSWAY @ PECK AVE",0,1180,"B","T","","","","BK","",2015,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6902113",7018181860,"7AETK8","CT","PAS","02/20/2016",20,"4DSD","INFIN","T",32590,13310,33890,88880088,6,6,6,363137,"T105","D","0302P","","NY","O","230","Thompson St","",0,408,"d","","YYYYYYY","","","BLACK","",0,"",0,"040","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7994110",7912167766,"ZES1448","NY","999","03/25/2016",14,"4DSD","NISSA","T",17290,27110,10010,20160412,13,13,13,330925,"T501","A","0244P","","NY","F","318","E 15th St","",0,408,"c","","YYYYYYY","","","RED","",2012,"",0,"CU 9","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4509197",7768107093,"86966MA","NY","COM","11/23/2015",37,"VAN","CHEVR","T",13610,0,0,20170731,20,20,20,355313,"T103","I","0123P","1128A","NY","I","E","Broadway","35ft S/of W 76th St",20151123,408,"h1","","Y","0800A","1000P","WH","",2008,"108-3048",0,"44 7","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6511619",5090523204,"HCZ2262","NY","PAS","02/18/2016",7,"2DSD","MINI","V",0,0,0,0,NA,0,0,0,"","","1025A","","","","","WB ATLANTIC AVE @ RO","CKAWAY AVE",0,1111,"D","T","","","","RD","",2004,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9276552",7003085150,"GRJ4556","NY","PAS","05/08/2016",70,"SUBN","HONDA","T",65490,9140,61090,20180511,109,109,109,357359,"T401","J","0204P","","Q","F","39-12","Union St","",0,408,"j3","","","","","WH","",2014,"",0,"06 4","70B-Impropr Dsply of Reg (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9429944",8043936869,"GPW5062","NY","PAS","05/10/2016",37,"SUBN","JEEP","T",8140,6590,42490,20180429,114,114,114,345451,"T401","H","0457P","0451P","Q","O","21-37","31st St","",0,408,"h1","","Y","0830A","0700P","WH","",2014,"418-3003",0,"35 4","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6333583",8046788090,"76071JY","NY","COM","01/05/2016",14,"DELV","FRUEH","T",21190,37070,37130,88888888,33,33,33,330291,"T103","AA","0951A","","NY","O","177","Ft Washington Ave","",0,408,"c","","YYYYYYY","","","WHITE","",2007,"",0,"CC4","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1301962",7544393732,"7ESZ002","CA","PAS","09/21/2015",40,"4DSD","KIA","T",60230,63030,52130,20150388,83,83,83,355665,"T301","L","0722A","","K","F","277","Menahan St","",0,408,"e2","","YYYYYYY","","","BLACK","",0,"",2,"L 31","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4893605",4614461920,"T520682C","NY","OMT","12/18/2015",36,"SUBN","TOYOT","V",0,0,0,0,NA,0,0,0,"","","0828A","","","","","NB MCGUINNESS BLVD @","NASSAU AVE",0,1180,"B","T","","","","BK","",2014,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7373875",7156781315,"GLJ9050","NY","PAS","03/16/2016",14,"4DSD","ME/BE","T",14590,45290,32900,20180130,5,5,5,351250,"T105","D","0457P","","NY","F","148","Centre St","",0,408,"c","","YYYYY","0700A","0700P","BK","",2011,"",0,"081","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8703737",4617915023,"CAH3132","NY","PAS","03/29/2016",36,"SUBN","SUZUK","V",0,0,0,0,NA,0,0,0,"","","0647A","","","","","WB LINDEN BLVD @ LIN","COLN AVE",0,1180,"B","T","","","","WH","",2002,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10606702",8332508289,"C44GKJ","NJ","PAS","06/11/2016",14,"4DSD","HONDA","T",33490,0,0,88888888,7,7,7,359606,"T101","N","0633P","","NY","I","W","Water St","15ft S/of Gouverneur",0,408,"c","","YYYYYYY","","","WHITE","",0,"",0,"95 1","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8257761",1405424928,"GMX4552","NY","PAS","04/13/2016",21,"SDN","LEXUS","S",75050,41920,24940,20180223,50,50,0,660715,"BX08","0000","1145A","","BX","O","719","W 235 STREET","",0,408,"D1","","BBYBBBB","1100A","0100P","SILVR","0",2008,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3475836",7741960945,"49960JG","NY","COM","10/16/2015",19,"VAN","GMC","T",27890,13015,13113,88888888,1,1,1,362606,"T105","C","0138P","","NY","F","41","Park Row","",0,408,"c3","","YYYYYYY","","","BROWN","",1989,"",0,"091","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8927887",7752373898,"VEA2375","VA","PAS","04/19/2016",21,"4DSD","ACURA","T",10380,5580,5680,20160088,68,68,68,363136,"T302","F","1147A","","K","O","545","76th St","",0,408,"d1","","Y","1130A","0100P","BLUE","",0,"",0,"21 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7411261",7494778123,"GNW3736","NY","PAS","03/16/2016",38,"SUBN","CHEVR","T",63030,81630,39330,20160801,88,88,88,357082,"T301","O","0107P","","K","F","545","Myrtle Ave","",0,408,"h1","","Y","0900A","0700P","WH","",2003,"",0,"06 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7229837",1406569148,"GAZ3615","NY","PAS","02/23/2016",71,"SDN","TOYOT","P",37620,26610,26610,20160814,41,41,41,936738,"0041","0000","0601A","","BX","F","1035","HALL PLACE","",0,408,"J3","","BBBBBBB","ALL","ALL","GRAY","0",2002,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9710250",7066347663,"FGR5847","NY","PAS","05/12/2016",21,"VAN","FORD","T",27790,0,0,20170307,23,23,23,341248,"T103","X","0845A","","NY","I","W","Park Ave","80ft N/of E 110th St",0,408,"d1","","Y  Y","0830A","1000A","BL","",2001,"",0,"23 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3594929",8027394673,"11757ME","NY","COM","10/05/2015",38,"VAN","FORD","T",51090,24540,24590,20170831,103,103,103,356551,"T402","H","0948A","","Q","O","169-01","Jamaica Ave","",0,408,"h1","","Y","0900A","0700P","WH","",2008,"",0,"14 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9700551",7053072666,"XV694J","NJ","PAS","05/17/2016",82,"SUBN","FORD","T",34810,13610,10810,88880088,18,18,18,349904,"T106","B","0958A","","NY","O","263","W 52nd St","",0,408,"k1","","","","","BLACK","",0,"",0,"45 6","82-Unaltered Commerc Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"977167",8041757315,"T636302C","NY","OMT","09/04/2015",21,"SUBN","CHEVR","T",37410,11710,12010,20151031,34,34,34,356987,"T103","I","1152A","","NY","O","501","W 183rd St","",0,408,"d1","","Y","1130A","0100P","BK","",2015,"",0,"14 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8195644",8182011905,"W52FJS","NJ","PAS","02/27/2016",38,"4DSD","BMW","T",5580,5730,5830,88888888,78,78,78,362270,"T302","O","0902A","","K","O","394","5th Ave","",0,408,"h1","","Y","0800A","0700P","GREY","",0,"",0,"58 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10162121",4620690867,"EVJ3912","NY","PAS","05/31/2016",36,"4DSD","HONDA","V",0,0,0,0,NA,0,0,0,"","","1241P","","BX","","","SB UNIVERSITY AVE @","W BURNSIDE AVE",0,1180,"B","T","","","","WH","",2008,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3528793",8004997041,"6AT9308","MD","PAS","10/12/2015",38,"4DSD","NISSA","T",8140,6590,42490,20160688,114,114,114,361025,"T401","X","0811A","","Q","F","21-15","31st St","",0,408,"h1","","Y","0800A","0700P","GREY","",0,"",0,"28 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5359064",7081172957,"21603MG","NY","COM","12/19/2015",38,"VAN","FORD","T",57790,59590,54580,20170101,109,109,109,346391,"T401","D","0743A","","Q","F","135-14","Northern Blvd","",0,408,"h1","","Y","0700A","0700P","WHITE","",2007,"",0,"02 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2031660",8039210719,"46052MG","NY","COM","08/05/2015",82,"VAN","CHEVR","T",34670,10410,10510,20170430,17,17,17,332133,"T106","N","0136P","","NY","O","62","W 45th St","",0,408,"k1","","","","","RED","",1997,"",0,"18 6","82-Unaltered Commerc Vehicle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4756270",8214502068,"EDF4767","NY","PAS","11/16/2015",70,"4DSD","VOLKS","T",10440,9290,9190,20151101,108,108,108,356500,"T401","M","0820A","","Q","F","39-11","47th Ave","",0,408,"j3","","YYYYYYY","","","WH","",2011,"",0,"T 41","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9753170",7372341747,"XCJY93","NJ","PAS","05/18/2016",14,"DELV","FORD","T",25390,18270,18290,20160888,19,19,19,347489,"T103","B","0948A","","NY","F","743","Madison Ave","",0,408,"c","","YYYYY","0700A","1000A","WHITE","",0,"",0,"A 77","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7632678",1405197171,"XDLW62","NJ","PAS","03/15/2016",21,"DELV","FORD","S",59990,12740,13490,0,108,108,0,834123,"QW02","0000","0806A","","Q","F","63-11","QUEENS BLVD","",0,408,"D1","","BYBBBBB","0800A","0830A","WHITE","0",0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10574829",8286015848,"AUZ6262","NY","PAS","06/01/2016",70,"4DSD","HONDA","T",23390,23340,40890,88888888,106,106,106,361789,"T402","P","0328P","","Q","O","90-22","153rd Ave","",0,408,"j3","","","","","WHITE","",2006,"",0,"U 42","70-Reg. Sticker Missing (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241134",7897152522,"Z84ELF","NJ","PAS","07/21/2015",19,"4DSD","ME/BE","T",17630,0,0,88888888,13,13,13,361882,"T102","L","0242P","","NY","I","S","E 32nd St","10ft E/of 5th Ave",0,408,"c3","","YYYYYYY","","","WHITE","",0,"",0,"22 6","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4870318",4614002870,"GLJ3097","NY","PAS","12/09/2015",36,"4DSD","ME/BE","V",0,0,0,0,NA,0,0,0,"","","1258P","","","","","EB GRAND CENTRAL PKW","Y @ 164TH PL",0,1180,"B","T","","","","BK","",2014,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2121222",8015782958,"29061MH","NY","COM","08/26/2015",71,"PICK","FORD","T",13610,35290,35310,88888888,20,20,20,355660,"T103","Q","0513P","","NY","O","2175","Broadway","",0,408,"j6","","","","","GREY","",0,"",0,"38 7","71-Insp. Sticker Missing (NYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10238905",7038302061,"93499JT","NY","COM","06/13/2016",46,"VAN","INTER","T",18570,10010,45590,88888888,19,19,19,362521,"T103","G","1038A","1200P","NY","O","408","E 79th St","",20160613,408,"F1","","","","","BROWN","",2005,"",0,"16 7","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6120800",5089815896,"FXN9654","NY","PAS","12/16/2015",7,"SUBN","TOYOT","V",0,0,0,0,NA,0,0,0,"","","0207P","","","","","FRANCIS LEWIS BLVD (","N/B) @ HILLSIDE AVE",0,1111,"D","T","","","","GY","",2014,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4586937",8019818390,"646222N","NJ","PAS","11/24/2015",16,"4DSD","ME/BE","T",57320,71120,52220,88888888,49,49,49,350435,"T202","M","0914A","","BX","O","1744","Paulding Ave","",0,408,"k2","","YYYYY","0700A","0400P","WHITE","",0,"",0,"C 22","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1181128",7103547040,"FZH8989","NY","PAS","09/09/2015",38,"4DSD","TOYOT","T",66690,16090,16190,20160525,107,107,107,356301,"T402","C","0237P","","Q","F","77-61","Vleigh Pl","",0,408,"h1","","Y","0730A","0700P","GY","",2012,"",0,"06 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5989427",8178510005,"HCR7705","NY","PAS","01/04/2016",21,"4DSD","NISSA","T",13880,18630,35930,20171115,70,70,70,361824,"T302","O","0835A","","K","O","2406","Avenue D","",0,408,"d1","","Y  Y","0800A","0930A","RD","",2009,"",0,"11 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6101493",4615464435,"FYT9208","NY","PAS","01/19/2016",36,"PICK","GMC","V",0,0,0,0,NA,0,0,0,"","","0920A","","","","","SB FLATBUSH AVE @ FL","ATLANDS AVE",0,1180,"B","T","","","","GY","",2015,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6462857",4615984881,"GUJ6058","NY","PAS","02/03/2016",36,"4DSD","HONDA","V",0,0,0,0,NA,0,0,0,"","","0253P","","","","","NB OCEAN PKWY @ AVE","S",0,1180,"B","T","","","","GY","",2014,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1866950",7536629503,"GXC1209","NY","PAS","07/29/2015",16,"SUBN","MERCU","T",42730,49930,46530,20161008,75,75,75,362245,"T301","Y","0248P","","K","F","3104","Fulton St","",0,408,"k2","","YYYYY","0800A","0400P","BL","",2004,"",0,"SPCL","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123305",7037698076,"GWH9595","NY","PAS","07/02/2015",21,"SUBN","BMW","T",24690,36330,36350,20170401,28,28,28,356948,"T103","E","0819A","","NY","F","370","Lenox Ave","",0,408,"d1","","Y","0800A","0900A","BK","",2002,"",0,"CC1","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
