"","X","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"1",8328522,7089556748,"GPN7979","NY","PAS","06/17/2014",38,"4DSD","CHEVR","T",54050,35030,67730,"20160430",62,62,62,358240,"T302","O","0411P","","K","F","575","Kings Hwy","","0",408,"h1",NA,"Y","0800A","0700P","GY",NA,2014,"",0,"04 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",7627816,7787984326,"GMA9441","NY","PAS","05/05/2014",71,"4DSD","HYUND","T",45490,47490,67990,"20160114",104,104,104,357092,"T401","L","0710A","","Q","F","66-42","Forest Ave","","0",408,"j6",NA,"YYYYYYY","","","GY",NA,2001,"",0,"L 41","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",298531,7739084839,"GDB2525","NY","PAS","08/22/2013",21,"SUBN","DODGE","T",0,0,0,"20141122",90,90,90,358173,"T301","S","1150A","","K","F","109","South St","","0",408,"d1",NA,"Y  Y","1130A","0100P","BL",NA,2008,"",0,"14 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1851202,7503484688,"L353YR","FL","PAS","10/26/2013",38,"4DSD","LEXUS","T",68420,27300,29220,"20131288",46,46,46,356217,"T201","H","0459P","","BX","F","2490","Tiebout Ave","","0",408,"h1",NA,"Y","0900A","0700P","GREY",NA,0,"",0,"03 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",8828297,7322366220,"EKC6304","NY","PAS","06/13/2014",21,"SUBN","FORD","T",18370,10110,10010,"20141130",19,19,19,361091,"T103","G","1131A","","NY","F","354","E 69th St","","0",408,"d1",NA,"Y  Y","1100A","1230A","GR",NA,1998,"",0,"51 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7558911,7558380777,"GPK8237","NY","PAS","05/24/2014",38,"4DSD","CHEVR","T",71030,40930,87330,"20160418",77,77,77,358932,"T301","E","1100A","","K","O","20","Plaza Street East","","0",408,"h1",NA,"Y","0830A","0700P","BK",NA,2014,"",0,"19 3","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7414846,7044048614,"GHN7110","NY","PAS","05/15/2014",40,"4DSD","FORD","T",0,0,0,"20140731",40,40,40,359303,"T201","H","0202P","","BX","I","W","E 140th St","15ft N/of Walton Ave","0",408,"e2",NA,"YYYYYYY","","","GY",NA,2009,"",6,"59 2","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8942005,7739111922,"DGD3732","NY","PAS","06/02/2014",21,"SUBN","SUBAR","T",20530,31830,19230,"20150627",84,84,84,358630,"T301","C","0846A","","K","F","150","Bond St","","0",408,"d1",NA,"Y","0830A","1000A","BK",NA,2005,"",0,"05 3","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",5866305,7787522987,"XAR581","NJ","PAS","02/26/2014",16,"VAN","FORD","T",15350,29390,16850,"20140088",1,1,1,353194,"T105","M","0739A","0702A","NY","F","176","Church St","","20140226",408,"k2",NA,"YYYYY","0700A","0700P","WHITE",NA,0,"",0,"J 99","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2474334,7758294741,"ELC6526","NY","PAS","10/05/2013",71,"4DSD","HONDA","T",18040,24240,24290,"20140818",103,103,103,356326,"T402","H","1037A","","Q","F","164-03","89th Ave","","0",408,"j6",NA,"YYYYYYY","","","SILVE",NA,2008,"",0,"04 -","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",5388026,7039020154,"EBN7783","NY","PAS","02/25/2014",40,"SUBN","HYUND","T",36390,0,0,"20150925",26,26,26,356335,"T103","M","0250P","","NY","I","N","W 131st St","60ft E/of Broadway","0",408,"e2",NA,"YYYYYYY","","","GY",NA,2005,"",8,"C 77","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8623393,1364923970,"CDEE48","FL","PAS","05/17/2014",40,"P-U","FORD","X",40030,75230,32030,"20141231",83,83,83,952757,"0083","0000","1232A","","K","F","675","EVERGREEN AVE","","0",408,"D",NA,"BBBBBBB","ALL","ALL","YELLO",0,2004,"-",2,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",7935532,7313109519,"80904MA","NY","COM","05/13/2014",16,"VAN","FORD","T",18290,10210,10110,"20150331",19,19,19,353431,"T103","CC","1037A","0953A","NY","O","220","E 65th St","","20140513",408,"k2",NA,"Y","0800A","0700P","WH",NA,2011,"",0,"10 7","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",8102209,7814373244,"DGH5123","NY","PAS","05/05/2014",37,"SUBN","CHEVR","T",25390,18530,18550,"20150714",19,19,19,358635,"T103","P","0357P","0139P","NY","F","998","Madison Ave","","0",408,"h1",NA,"Y","0900A","0700P","GREY",NA,2002,"118-4603",0,"07 7","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",7272134,7919971469,"92438JY","NY","COM","04/24/2014",14,"DELV","INTER","T",17770,0,0,"20150331",17,17,17,349851,"T106","L","0400P","","NY","I","S","E 39th St","15ft E/of Lexington","0",408,"c",NA,"YYYYYYY","","","WH",NA,2010,"",0,"88 6","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",7398849,7000166630,"GMR3972","NY","PAS","05/12/2014",14,"SUBN","GMC","T",64290,42490,6940,"20160421",114,114,114,357703,"T401","G","0529P","","Q","F","22-23","Steinway St","","0",408,"c",NA,"Y","0900A","0700P","BL",NA,2008,"",0,"35 4","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",4134074,7907361047,"AF69015","PA","PAS","12/09/2013",16,"FLAT","INTER","T",34690,0,0,"20140588",18,18,18,349475,"T502","J","0305P","0229P","NY","I","S","W 46th St","30ft E/of 11th Ave","0",408,"k2",NA,"Y","0800A","0700P","GREEN",NA,0,"",0,"03 -","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1572621,7937508206,"DPK5165","NY","PAS","09/04/2013",20,"VAN","FORD","T",16150,24010,19890,"20140331",5,5,5,351995,"T101","G","1131A","","NY","F","134","Crosby St","","0",408,"d",NA,"YYYYY","0800A","0600P","GY",NA,2003,"",0,"38 -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",3465126,1356268286,"80632JW","99","COM","11/20/2013",19,"DELV","","P",40930,37130,37130,"0",63,63,63,938659,"0063","0000","1242P","","K","O","2439","FLATBUSH AVE","","0",408,"E1",NA,"BBBBBBB","ALL","ALL","BROWN",0,2007,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",6566324,7154349025,"MH8256","NC","PAS","04/14/2014",19,"DELV","FRUEH","T",56490,38490,48495,"20140188",104,104,104,358660,"T401","D","1058A","","Q","F","56-49","Myrtle Ave","","0",408,"c3",NA,"YYYYYYY","","","WHITE",NA,0,"",0,"62-A","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",5736002,7274352635,"ZEF6460","NY","ITP","03/06/2014",20,"4DSD","HONDA","T",17230,10110,10010,"20140328",9,9,9,358579,"T105","H","0311P","","NY","O","325","E 12th St","","0",408,"d",NA,"YYYYYYY","0700A","0400P","SILVE",NA,2001,"",0,"078","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
